"Endpoint Name","Endpoint FQDN","IP","Antimalware","Network Attack Defense","Advanced Anti-Exploit","Firewall","Content Control","Antiphishing","Web Traffic Scan","Device Control","Power User","Exchange","Advanced Threat Control","Application Control","Hyper Detect","Sandbox Analyzer","Anti-Tampering","Scan Mode"
"LNCOLABORADOR01","lncolaborador01.sarah.br","10.1.83.26","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG03BOX02","lng03box02.sarah.br","10.1.83.110","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNDR04","lndr04.sarah.br","10.1.93.115","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG04C04","lng04c04.sarah.br","10.1.83.113","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNG03BOX01","lng03box01.sarah.br","10.1.93.118","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNCOSTURARIA01","lncosturaria01.sarah.br","10.1.93.166","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNBIOENG01","lnbioeng01.sarah.br","10.1.84.247","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRAD11","lnrad11.sarah.br","10.1.83.19","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRISL04C02","lnrisl04c02.sarah.br","10.1.83.112","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRISL01C03","lnrisl01c03.sarah.br","10.1.93.89","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRISL05C06","lnrisl05c06.sarah.br","10.1.93.111","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNRISL06C03","lnrisl06c03.sarah.br","10.1.83.111","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
"LNNUTRICAO05","lnnutricao05.sarah.br","10.1.93.51","Enabled","Not installed","Not installed","Not installed","Disabled","Disabled","Disabled","Not installed","Enabled","Not installed","Not installed","Not installed","Enabled","Disabled","Enabled","Local"
